VFGID,VFID,VFCID
VFG000001,VF0025,VFC0001
VFG000002,VF0027,VFC0001
VFG000003,VF0031,VFC0001
VFG000004,VF0031,VFC0001
VFG000005,VF0031,VFC0001
VFG000007,VF0031,VFC0001
VFG000008,VF0031,VFC0001
VFG000009,VF0031,VFC0001
VFG000010,VF0032,VFC0001
VFG000011,VF0026,VFC0235
VFG000012,VF0026,VFC0235
VFG000013,VF0026,VFC0235
VFG000014,VF0026,VFC0235
VFG000015,VF0026,VFC0235
VFG000016,VF0686,VFC0086
VFG000017,VF0686,VFC0086
VFG000018,VF0686,VFC0086
VFG000019,VF0686,VFC0086
VFG000020,VF0686,VFC0086
VFG000021,VF0686,VFC0086
VFG000022,VF0686,VFC0086
VFG000023,VF0686,VFC0086
VFG000024,VF0686,VFC0086
VFG000025,VF0028,VFC0235
VFG000026,VF0029,VFC0235
VFG000027,VF0034,VFC0258
VFG000028,VF0034,VFC0258
VFG000029,VF0033,VFC0258
VFG000030,VF0033,VFC0258
VFG000031,VF0033,VFC0258
VFG000032,VF0033,VFC0258
VFG000033,VF0033,VFC0258
VFG000034,VF0033,VFC0258
VFG000035,VF0033,VFC0258
VFG000036,VF0033,VFC0258
VFG000037,VF0033,VFC0258
VFG000038,VF0033,VFC0258
VFG000039,VF0035,VFC0086
VFG000040,VF0035,VFC0086
VFG000041,VF0035,VFC0086
VFG000042,VF0035,VFC0086
VFG000043,VF0035,VFC0086
VFG000044,VF0035,VFC0086
VFG000045,VF0035,VFC0086
VFG000046,VF0035,VFC0086
VFG000047,VF0035,VFC0086
VFG000048,VF0035,VFC0086
VFG000049,VF0035,VFC0086
VFG000050,VF0035,VFC0086
VFG000051,VF0035,VFC0086
VFG000052,VF0035,VFC0086
VFG000053,VF0035,VFC0086
VFG000054,VF0035,VFC0086
VFG000055,VF0687,VFC0086
VFG000056,VF0687,VFC0086
VFG000057,VF0035,VFC0086
VFG000058,VF0035,VFC0086
VFG000059,VF0687,VFC0086
VFG000060,VF0687,VFC0086
VFG000061,VF0035,VFC0086
VFG000062,VF0035,VFC0086
VFG000063,VF0035,VFC0086
VFG000064,VF0035,VFC0086
VFG000065,VF0035,VFC0086
VFG000066,VF0035,VFC0086
VFG000067,VF0035,VFC0086
VFG000068,VF0066,VFC0204
VFG000069,VF0067,VFC0235
VFG000070,VF0068,VFC0083
VFG000071,VF0065,VFC0251
VFG000072,VF0062,VFC0301
VFG000073,VF0063,VFC0235
VFG000074,VF0064,VFC0235
VFG000075,VF0069,VFC0083
VFG000076,VF0070,VFC0083
VFG000077,VF0074,VFC0282
VFG000078,VF0071,VFC0001
VFG000079,VF0072,VFC0282
VFG000080,VF0073,VFC0282
VFG000088,VF0126,VFC0001
VFG000089,VF0126,VFC0001
VFG000090,VF0126,VFC0001
VFG000091,VF0126,VFC0001
VFG000092,VF0126,VFC0001
VFG000093,VF0126,VFC0001
VFG000094,VF0126,VFC0001
VFG000095,VF0126,VFC0001
VFG000096,VF0126,VFC0001
VFG000097,VF0126,VFC0001
VFG000098,VF0126,VFC0001
VFG000099,VF0126,VFC0001
VFG000100,VF0126,VFC0001
VFG000101,VF0126,VFC0001
VFG000102,VF0126,VFC0001
VFG000103,VF0127,VFC0346
VFG000104,VF0127,VFC0346
VFG000105,VF0127,VFC0346
VFG000106,VF0127,VFC0346
VFG000107,VF0128,VFC0235
VFG000108,VF0128,VFC0235
VFG000109,VF0129,VFC0235
VFG000110,VF0130,VFC0235
VFG000111,VF0082,VFC0001
VFG000112,VF0082,VFC0001
VFG000114,VF0082,VFC0001
VFG000115,VF0086,VFC0235
VFG000116,VF0091,VFC0271
VFG000117,VF0091,VFC0271
VFG000118,VF0091,VFC0271
VFG000119,VF0091,VFC0271
VFG000120,VF0091,VFC0271
VFG000121,VF0091,VFC0271
VFG000122,VF0091,VFC0271
VFG000123,VF0091,VFC0271
VFG000124,VF0091,VFC0271
VFG000125,VF0091,VFC0271
VFG000126,VF0091,VFC0271
VFG000127,VF0091,VFC0271
VFG000128,VF0091,VFC0271
VFG000129,VF0091,VFC0271
VFG000130,VF0091,VFC0271
VFG000131,VF0091,VFC0271
VFG000132,VF0091,VFC0271
VFG000133,VF0091,VFC0271
VFG000134,VF0091,VFC0271
VFG000135,VF0091,VFC0271
VFG000136,VF0091,VFC0271
VFG000137,VF0085,VFC0258
VFG000138,VF0085,VFC0258
VFG000139,VF0085,VFC0258
VFG000140,VF0085,VFC0258
VFG000141,VF0085,VFC0258
VFG000142,VF0085,VFC0258
VFG000143,VF0085,VFC0258
VFG000144,VF0090,VFC0251
VFG000145,VF0088,VFC0086
VFG000146,VF0087,VFC0086
VFG000147,VF0853,VFC0086
VFG000148,VF0853,VFC0086
VFG000150,VF0853,VFC0086
VFG000151,VF0093,VFC0271
VFG000152,VF0093,VFC0271
VFG000153,VF0093,VFC0271
VFG000154,VF0093,VFC0271
VFG000155,VF0089,VFC0258
VFG000156,VF0089,VFC0258
VFG000157,VF0092,VFC0235
