"Country","Count"
"belarus",0
"benin",0
"canada",0
"japan",0
"madagascar",0
"mexico",0
"norway",0
"serbia",0
"south africa",0
"taiwan",0
"unknown",0
"bulgaria",1
"democratic republic of the congo",1
"greece",1
"malaysia",1
"morocco",1
"not applicable",1
"south korea",1
"sri lanka",1
"tunisia",1
"united kingdom",1
"zaire",1
"missing",2
"pakistan",2
"slovenia",3
"brazil",4
"hong kong",5
"australia",6
"france",6
"lebanon",6
"belgium",7
"spain",11
"nigeria",12
"india",18
"italy",21
"germany",40
"china",45
"",69
"usa",120
