"Host","Count"
"environment",1
"environmental",1
"freshwater stream",1
"gut",1
"lungs of cystic fibrosis patient a",1
"not collected",1
"piper betle",1
"pulmonary",1
"pus",1
"respiratory tract",1
"rhizosphere of potato",1
"soil",1
"storm drain water",1
"thracheal aspirate",1
"ulu slim hot spring",1
"vermicompost of cattle manure",1
"washroom sink in hospital intensive care unit",1
"wastewater",1
"bronch",2
"cattle manure",2
"grower feed",2
"lungs of cystic fibrosis patient b",2
"rectal swab",2
"rhizosphere of oilseed rape",2
"stool",2
"water",2
"horse manure",3
"respiratory",3
"missing",5
"oropharinx",5
"perineum swab",5
"wound",6
"urine",8
"blood",9
"sputum",19
"",57
