"Country","Count"
"brazil",0
"bulgaria",0
"canada",0
"democratic republic of the congo",0
"greece",0
"madagascar",0
"malaysia",0
"morocco",0
"nigeria",0
"not applicable",0
"south africa",0
"south korea",0
"sri lanka",0
"taiwan",0
"tunisia",0
"united kingdom",0
"zaire",0
"belarus",1
"benin",1
"japan",1
"lebanon",1
"mexico",1
"missing",1
"norway",1
"serbia",1
"unknown",1
"australia",2
"belgium",2
"france",2
"slovenia",2
"hong kong",4
"pakistan",5
"india",7
"spain",8
"germany",9
"",36
"china",39
"italy",48
"usa",105
