"Isolation_source","Count"
"aerobic granular sludge",1
"alcohol foam dispenser in hospital intensive care unit",1
"barley rhizosphere",1
"caecum",1
"cattle manure",1
"clinical isolate",1
"commercial nano-particles",1
"cucumber rhizosphere",1
"eye-care solution",1
"feces",1
"hospital patient",1
"intensive care uit",1
"maize soil rhizosphere",1
"perineum",1
"pus from a wound",1
"rhizosphere of rape",1
"surface water",1
"surgical wound",1
"tetracycline contaminated soil",1
"throat (pharynx)",1
"unknown",1
"water",1
"wings",1
"anal swab",2
"bronch",2
"bronchial aspirate",2
"drinking water",2
"eye",2
"not collected",2
"perineum swab",2
"respiratory",2
"respiratory tract",2
"soil",3
"tissue",3
"freshwater stream",4
"oropharinx",4
"urine",4
"washroom sink in hospital intensive care unit",4
"blood",6
"wound",9
"missing",24
"sputum",52
"lung",61
"",64
