"Country","Count"
"amoeba",0
"Anopheles stephensi",0
"Bos taurus",0
"Caenorhabditis remanei",0
"Calibrachoa elegans",0
"Chicken",0
"clivia",0
"Danio",0
"duck",0
"Duck",0
"horse",0
"Lagria villosa",0
"Leptinotarsa decemlineata (Colorado potato beetle)",0
"Mice",0
"not applicable",0
"plant",0
"Reptile",0
"Seal",0
"Snake",0
"Solanum lycopersicum",0
"swine",0
"Zea mays",0
"Bactrocera oleae",1
"Ictalurus punctatus",1
"Lemur",1
"Macaca fascicularis",1
"Mus musculus",1
"sunflower",1
"Cat",2
"Homo sapiens female",2
"dairy cows",3
"Dog",3
"missing",4
"",23
"Horse",31
"Homo sapiens",98
