"Isolation_source","Count"
"bronch",1
"cf sputum",1
"environment",1
"environmental",1
"freshwater stream",1
"gut",1
"lungs of cystic fibrosis patient a",1
"pulmonary",1
"pus",1
"respiratory secretion",1
"respiratory tract",1
"rhizosphere of potato",1
"soil",1
"storm drain water",1
"thracheal aspirate",1
"ulu slim hot spring",1
"vermicompost of cattle manure",1
"washroom sink in hospital intensive care unit",1
"wastewater",1
"water",1
"cattle manure",2
"grower feed",2
"lungs of cystic fibrosis patient b",2
"oropharinx",2
"rhizosphere of oilseed rape",2
"stool",2
"blood",3
"horse manure",3
"respiratory",3
"perineum swab",4
"missing",6
"wound",6
"urine",8
"sputum",11
"",53
