"Isolation_source","Count"
"alcohol foam dispenser in hospital intensive care unit",1
"brackish water",1
"cerebrospinal fluid",1
"dentine caries",1
"domestic sewage",1
"environmental control",1
"hvs",1
"laboratory sink",1
"liver",1
"lungs of cystic fibrosis patient b",1
"lungs of cystic fibrosis patient c",1
"not collected",1
"nuclear waste",1
"oropharynx",1
"peritoneal fluid",1
"pharyngeal exudate",1
"piper betle",1
"respiratory cx",1
"root",1
"roots",1
"soil",1
"stool",1
"tracheobronchial aspirate",1
"unknown",1
"vascular ulcer",1
"vascular ulcera",1
"wastewater",1
"water",1
"whole mosquito body",1
"wings",1
"catheter",2
"respiratory",2
"bronch",3
"rectal swab",3
"sewage",3
"tissue",3
"urine",4
"washroom sink in hospital intensive care unit",5
"missing",6
"wound",7
"oropharinx",13
"perineum swab",15
"blood",19
"sputum",48
"",86
