"Country","Count"
"amoeba",0
"Anopheles stephensi",0
"Bactrocera oleae",0
"Bos taurus",0
"Caenorhabditis remanei",0
"Calibrachoa elegans",0
"Cat",0
"Chicken",0
"clivia",0
"dairy cows",0
"Danio",0
"Dog",0
"duck",0
"Duck",0
"Homo sapiens female",0
"horse",0
"Ictalurus punctatus",0
"Lagria villosa",0
"Lemur",0
"Leptinotarsa decemlineata (Colorado potato beetle)",0
"Macaca fascicularis",0
"Mice",0
"missing",0
"Mus musculus",0
"plant",0
"Reptile",0
"Seal",0
"Snake",0
"Solanum lycopersicum",0
"sunflower",0
"swine",0
"Zea mays",0
"not applicable",1
"",3
"Horse",7
"Homo sapiens",38
