"Isolation_source","Count"
"bile acid of cholelithiasis patient",1
"bronchial aspirate",1
"cerebrospinal fluid",1
"decubitus ulcer",1
"desert sand",1
"ear swab",1
"horse manure",1
"hospital hot water tap",1
"organic lettuce and spinach mix",1
"pharyngeal exudate",1
"residence cold water tap",1
"rhizosphere",1
"scope",1
"soil",1
"tissue",1
"wastewater",1
"bronch",2
"perineum",2
"pulmonary",2
"drinking water",3
"oropharinx",3
"wound",3
"freshwater stream",4
"urine",4
"missing",6
"blood",12
"perineum swab",16
"sputum",29
"",43
