# 2022 m. kovo 24 d. 11:17:41 EET,,
# Assembly_search_query=40324[Taxonomy ID] AND latest[filter],,
Assembly,BioSample,BioProject
12349561,26589471,814396
12349531,26589467,814396
12349511,26589473,814396
12349501,26589472,814396
12349491,26589470,814396
12349481,26589469,814396
12349471,26589468,814396
12349461,26589466,814396
12349451,26589464,814396
12349441,26589465,814396
12349431,26589461,814396
12349421,26589463,814396
12349411,26589460,814396
12349401,26589462,814396
12349391,26589458,814396
12349381,26589459,814396
12349371,26589457,814396
12349361,26589456,814396
12349351,26589454,814396
12349341,26589455,814396
12349321,26589453,814396
12349311,26589450,814396
12349301,26589452,814396
12349291,26589451,814396
12321751,16967554,681740
11983131,25416139,801912
11798251,13830225,600734
11798241,13830223,600732
11798231,13830224,600733
11798221,13830222,600731
11798211,13830213,600728
11798201,13830196,600727
11798191,13830185,600725
11798181,13830182,600724
11798171,13830186,600726
11798161,13826929,600618
11798151,13830169,600712
11798141,13826907,600616
11798131,13826906,600615
11798121,13826884,600614
11798111,13826883,600613
11798101,13826476,600590
11798091,13826882,600612
11798081,13826472,600588
11798071,13826465,600580
11798061,13826468,600584
11798051,13826216,600549
11798041,13826448,600560
11798031,13814255,600366
11798021,13812697,600335
11798011,13781462,600082
11798001,13781871,600109
11797991,13826194,600548
11744351,24492124,792952
11712381,18275197,713928
11591301,21353060,761510
11580221,23441566,783655
11580211,23441567,783655
11580201,23441568,783655
11580191,23441569,783655
11580181,23441570,783655
11399491,22793157,776496
11327001,21163374,759338
11326991,21163373,759338
11326981,21163377,759338
11326971,21163376,759338
11326961,21163380,759338
11326951,21163378,759338
11326941,21163375,759338
11326931,21163379,759338
11326921,21163372,759338
11279261,21467686,761700
11007541,20525554,751730
10988661,15794714,656644
10974751,21541169,287430
10954851,21404530,762715
10896561,20394475,749625
10848621,21169357,759567
10803921,15048632,635655
10489421,19929417,742162
10392281,19803883,739838
10324711,19374041,733006
10055061,17801514,698986
10048511,17801001,698986
9776511,17860412,701275
9776501,17860419,701275
9639971,17860428,701275
9639951,17860431,701275
9639941,17860430,701275
9639901,17860433,701275
9639801,17860450,701275
9639541,17860438,701275
9630471,18138707,706608
9506451,18099585,705736
9492861,17860398,701275
9489821,17860415,701275
9489701,17860416,701275
9489691,17860417,701275
9489671,17860424,701275
9489541,17860425,701275
9424881,17965097,475751
9424801,17965098,475751
9424791,17965103,475751
9424781,17965104,475751
9424771,17965107,475751
9424761,17965105,475751
9424751,17965106,475751
9424741,17965110,475751
9424731,17965112,475751
9424721,17965111,475751
9424711,17965114,475751
9424701,17965108,475751
9424691,17965117,475751
9424681,17965113,475751
9424671,17965109,475751
9424661,17965115,475751
9424651,17965123,475751
9424641,17965100,475751
9424631,17965116,475751
9424621,17965124,475751
9424611,17965101,475751
9424601,17965126,475751
9424591,17965128,475751
9424581,17965125,475751
9424571,17965127,475751
9424561,17965129,475751
9424551,17965130,475751
9424541,17965138,475751
9424531,17965131,475751
9424521,17965102,475751
9424511,17965133,475751
9424501,17965134,475751
9424491,17965118,475751
9424481,17965132,475751
9424471,17965139,475751
9424461,17965121,475751
9424451,17965120,475751
9424441,17965140,475751
9424431,17965141,475751
9424421,17965122,475751
9424411,17965099,475751
9424401,17965142,475751
9424391,17965135,475751
9424381,17965143,475751
9424371,17965144,475751
9424361,17965137,475751
9424351,17965147,475751
9424341,17965145,475751
9424331,17965119,475751
9424321,17965150,475751
9424311,17965146,475751
9424301,17965148,475751
9424291,17965149,475751
9424281,17965136,475751
9424271,17965154,475751
9424261,17965151,475751
9424251,17965153,475751
9424241,17965152,475751
9220461,15589928,647540
9174741,17278865,691073
9174711,17278866,691131
9135851,17255814,690648
9135281,10437189,475751
8871141,16357213,231221
8840351,15249472,639800
8803871,10437190,475751
8803861,10437192,475751
8803841,10437191,475751
8803831,10437193,475751
8803821,10437194,475751
8803811,10437195,475751
8803801,10437196,475751
8803791,10437197,475751
8803781,10437198,475751
8803771,10437199,475751
8803761,10437202,475751
8803751,10437200,475751
8803741,10437201,475751
8803731,10437203,475751
8803721,10437204,475751
8803711,10437207,475751
8803701,10437206,475751
8803691,10437205,475751
8803681,10437208,475751
8803671,10437209,475751
8803661,10437210,475751
8803651,10437211,475751
8803641,10437212,475751
8803631,10437213,475751
8803621,10437214,475751
8803611,10437215,475751
8803601,10437216,475751
8803591,10437217,475751
8803581,10437218,475751
8803571,10437219,475751
8803561,10437221,475751
8803551,10437220,475751
8803541,10437222,475751
8803531,10437223,475751
8803521,10437226,475751
8803511,10437225,475751
8803501,10437224,475751
8803491,10437231,475751
8803481,10437227,475751
8803471,10437228,475751
8803461,10437229,475751
8803451,10437230,475751
8803441,10437232,475751
8803431,10437233,475751
8803421,10437234,475751
8803411,10437235,475751
8803401,10437236,475751
8803391,10437237,475751
8803381,10437245,475751
8803371,10437239,475751
8803361,10437240,475751
8803351,10437238,475751
8803341,10437244,475751
8803331,10437246,475751
8803321,10437248,475751
8803311,10437249,475751
8803301,10437247,475751
8803291,10437250,475751
8803281,10437252,475751
8803271,11285276,475751
8803261,11285278,475751
8803251,10437251,475751
8803241,11285277,475751
8803231,10437253,475751
8803221,11285281,475751
8803211,11285280,475751
8803201,11285282,475751
8803191,11285279,475751
8803181,11285283,475751
8803171,11285284,475751
8803161,11285287,475751
8803151,10437254,475751
8803141,11285286,475751
8803131,11285285,475751
8803121,11285288,475751
8803111,11285289,475751
8803101,11285290,475751
8803091,11285291,475751
8803081,10437255,475751
8803071,10437256,475751
8803061,10437257,475751
8803051,11285292,475751
8803041,12220537,475751
8803031,11285293,475751
8803021,10437258,475751
8803011,11285295,475751
8803001,11285294,475751
8802991,12220540,475751
8802981,12220538,475751
8802971,13622282,475751
8802961,13622283,475751
8802951,12220539,475751
8802941,13622281,475751
8802931,13622285,475751
8802921,13622286,475751
8802911,13622284,475751
8802901,13622288,475751
8802891,13622287,475751
8802881,13622290,475751
8802871,13622292,475751
8802861,13622289,475751
8802851,13622293,475751
8802841,13622291,475751
8802831,13622296,475751
8802821,13622294,475751
8802811,13622295,475751
8802801,13622298,475751
8802791,13622297,475751
8802781,13622299,475751
8802771,13622301,475751
8802761,13622300,475751
8802751,13622303,475751
8802741,13622302,475751
8802731,13622306,475751
8802721,13622304,475751
8802711,13622305,475751
8802701,13622307,475751
8802691,13622309,475751
8802681,13622311,475751
8802671,13622308,475751
8802661,13622310,475751
8802651,13622312,475751
8802641,13622313,475751
8781311,10394026,504495
8077501,14775804,629441
8077491,14775805,629441
8077481,14775809,629441
8077471,14775811,629441
8077461,14775813,629441
8077451,14775816,629441
8077441,14775812,629441
8077431,14775814,629441
8077421,14775817,629441
8077411,14775818,629441
8042381,14089767,606341
8042371,14089766,606341
8042341,14089768,606341
7990591,14601825,625504
7910901,15577956,647802
7910841,15577957,647802
7910831,15577958,647802
7910821,15577959,647802
7910811,15577960,647802
7910701,15577961,647802
7910651,15577962,647802
7909991,15689527,649713
7885101,13165421,580881
7869471,14081051,605861
7862691,15591852,474629
7821931,12671355,563306
7563171,12530143,559295
7383591,10131152,295129
7383571,10131151,295129
7383471,10131153,295129
7383461,10131156,295129
7383451,10131155,295129
7383441,10131154,295129
7383431,10131157,295129
7383341,10131160,295129
7383331,10131159,295129
7383321,10131161,295129
7383311,10131158,295129
7383301,10131162,295129
7383251,10131163,295129
7383241,10131165,295129
7383211,10131164,295129
7383201,10131166,295129
7383191,10131167,295129
7383091,10131168,295129
7383081,10131169,295129
7383071,10131170,295129
7383061,10131027,295129
7383051,10131026,295129
7383031,10131028,295129
7382951,10131031,295129
7382941,10131030,295129
7382931,10131032,295129
7382911,10131029,295129
7382871,10131033,295129
7382861,10131035,295129
7382851,10131034,295129
7382841,10131036,295129
7382831,10131037,295129
7382821,10131038,295129
7382811,10131039,295129
7382801,10131040,295129
7382791,10131041,295129
7382781,10131042,295129
7382771,10131043,295129
7382761,10131046,295129
7382751,10131045,295129
7382741,10131044,295129
7382731,10131047,295129
7382721,10131048,295129
7382711,10131049,295129
7382701,10131050,295129
7382691,10131051,295129
7382681,10131052,295129
7382671,10131053,295129
7382661,10131055,295129
7382651,10131054,295129
7382641,10131056,295129
7382631,10131057,295129
7382621,10131058,295129
7382611,10131061,295129
7382601,10131060,295129
7382591,10131062,295129
7382581,10131059,295129
7382571,10131063,295129
7382551,10131067,295129
7382541,10131064,295129
7382531,10131065,295129
7382521,10131066,295129
7382511,10131068,295129
7382501,10131070,295129
7382491,10131071,295129
7382481,10131069,295129
7382471,10131072,295129
7382461,10131073,295129
7382441,10131074,295129
7382431,10131075,295129
7382421,10131077,295129
7382411,10131076,295129
7382401,10131079,295129
7382391,10131078,295129
7382381,10131082,295129
7382371,10131080,295129
7382351,10131081,295129
7336661,15429100,643812
7282031,15177966,638155
7240291,13865298,559807
7186481,14775819,629441
7186471,14775802,629441
7186461,14775820,629441
7186451,14775803,629441
7186441,14775806,629441
7186421,14775807,629441
7186411,14775810,629441
7186401,14775815,629441
7186391,14775808,629441
7079531,14517832,622446
7059581,12500624,558844
7053021,14596986,299546
7053011,14596987,299546
6901691,14591332,622823
6272391,14206046,608662
6106031,14209924,608831
6050401,13268959,589234
6050291,13247120,588515
5820571,12250876,553678
5819051,12250880,553678
5819031,12250881,553678
5818981,12250887,553678
5818931,12250888,553678
5818921,12250894,553678
5818911,12250896,553678
5818811,12250903,553678
5818771,12250910,553678
5818761,12250908,553678
5818731,12250911,553678
5818631,12250919,553678
5818611,12250922,553678
5818571,12250928,553678
5818481,12250939,553678
5818471,12250937,553678
5818451,12250940,553678
5818271,12250956,553678
5818241,12250957,553678
5818141,12250963,553678
5818091,12250964,553678
5818011,12250968,553678
5817941,12250974,553678
5817931,12250971,553678
5817871,12250986,553678
5817711,12250993,553678
5817681,12251000,553678
5817651,12251001,553678
5817461,12251027,553678
5817401,12251039,553678
5815881,12250991,553678
5815831,12250998,553678
5815821,12250997,553678
5815811,12251002,553678
5815801,12251003,553678
5815791,12251009,553678
5815761,12251010,553678
5815741,12251014,553678
5815551,12251040,553678
5815531,12251041,553678
5815521,12251042,553678
5815491,12251048,553678
5815451,12251053,553678
5815441,12251056,553678
5815431,12251052,553678
5815401,12251055,553678
5815381,12251060,553678
5815321,12251064,553678
5815301,12251065,553678
5815281,12251067,553678
5806181,12250823,553678
5806101,12250833,553678
5806091,12250831,553678
5806011,12250838,553678
5806001,12250865,553678
5805961,12250863,553678
