# Wed 18 May 2022 10:25:34 AM EEST
Genbank;Id;RsUid;GbUid;AssemblyAccession;LastMajorReleaseAccession;ChainId;AssemblyName;Taxid;Organism;SpeciesTaxid;SpeciesNAme;AssemblyType;AssemblyStatus;Isolate;Sub_type;Sub_value;Coverage;ContigN50;ScaffoldN50;Title;Host;Strain;Isolation_source;Collection_date;Geo_loc_name
GCA_022631135.1;12349561;32352568;32351208;GCF_022631135.1;GCF_022631135.1;22631135;ASM2263113v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;NMG-F-51;300;336927;336927;Microbe sample from Stenotrophomonas maltophilia;dairy cows;NMG-F-51;;2016;China:Inner Mongolia
GCA_022631075.1;12349531;32352248;32351148;GCF_022631075.1;GCF_022631075.1;22631075;ASM2263107v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;NMG-F-34-2;300;287616;287616;Microbe sample from Stenotrophomonas maltophilia;dairy cows;NMG-F-34-2;;2016;China:Inner Mongolia
GCA_022631035.1;12349511;32352548;32351108;GCF_022631035.1;GCF_022631035.1;22631035;ASM2263103v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;NMG-F-54;300;346446;346446;Microbe sample from Stenotrophomonas maltophilia;dairy cows;NMG-F-54;;2016;China:Inner Mongolia
GCA_022631015.1;12349501;32352368;32351088;GCF_022631015.1;GCF_022631015.1;22631015;ASM2263101v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;NMG-F-52;300;620497;620497;Microbe sample from Stenotrophomonas maltophilia;dairy cows;NMG-F-52;;2016;China:Inner Mongolia
GCA_022630995.1;12349491;32352508;32351068;GCF_022630995.1;GCF_022630995.1;22630995;ASM2263099v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;NMG-F-49-2;300;235247;235247;Microbe sample from Stenotrophomonas maltophilia;dairy cows;NMG-F-49-2;;2016;China:Inner Mongolia
GCA_022630975.1;12349481;32352268;32351048;GCF_022630975.1;GCF_022630975.1;22630975;ASM2263097v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;NMG-F-46;300;362672;362672;Microbe sample from Stenotrophomonas maltophilia;dairy cows;NMG-F-46;;2016;China:Inner Mongolia
GCA_022630955.1;12349471;32352648;32351028;GCF_022630955.1;GCF_022630955.1;22630955;ASM2263095v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;NMG-F-36;300;293603;293603;Microbe sample from Stenotrophomonas maltophilia;dairy cows;NMG-F-36;;2016;China:Inner Mongolia
GCA_022630935.1;12349461;32352588;32351008;GCF_022630935.1;GCF_022630935.1;22630935;ASM2263093v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;NMG-F-34-1;300;175355;175355;Microbe sample from Stenotrophomonas maltophilia;dairy cows;NMG-F-34-1;;2016;China:Inner Mongolia
GCA_022630895.1;12349451;32352408;32350968;GCF_022630895.1;GCF_022630895.1;22630895;ASM2263089v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;NMG-F-23;300;558059;558059;Microbe sample from Stenotrophomonas maltophilia;dairy cows;NMG-F-23;;2016;China:Inner Mongolia
GCA_022630915.1;12349441;32352348;32350988;GCF_022630915.1;GCF_022630915.1;22630915;ASM2263091v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;NMG-F-30;300;224717;224717;Microbe sample from Stenotrophomonas maltophilia;dairy cows;NMG-F-30;;2016;China:Inner Mongolia
GCA_022630865.1;12349431;32352228;32350948;GCF_022630865.1;GCF_022630865.1;22630865;ASM2263086v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;NMG-F-17;300;157168;157168;Microbe sample from Stenotrophomonas maltophilia;dairy cows;NMG-F-17;;2016;China:Inner Mongolia
GCA_022630835.1;12349421;32352188;32350928;GCF_022630835.1;GCF_022630835.1;22630835;ASM2263083v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;NMG-F-18-2;300;254267;254267;Microbe sample from Stenotrophomonas maltophilia;dairy cows;NMG-F-18-2;;2016;China:Inner Mongolia
GCA_022630815.1;12349411;32352288;32350888;GCF_022630815.1;GCF_022630815.1;22630815;ASM2263081v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;MNG-F-11;300;235351;235351;Microbe sample from Stenotrophomonas maltophilia;dairy cows;MNG-F-11;;2016;China:Inner Mongolia
GCA_022630845.1;12349401;32352428;32350918;GCF_022630845.1;GCF_022630845.1;22630845;ASM2263084v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;NMG-F-18-1;300;260754;260754;Microbe sample from Stenotrophomonas maltophilia;dairy cows;NMG-F-18-1;;2016;China:Inner Mongolia
GCA_022630775.1;12349391;32352148;32350848;GCF_022630775.1;GCF_022630775.1;22630775;ASM2263077v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;NMG-F-5;300;223299;223299;Microbe sample from Stenotrophomonas maltophilia;dairy cows;NMG-F-5;;2016;China:Inner Mongolia
GCA_022630795.1;12349381;32352488;32350868;GCF_022630795.1;GCF_022630795.1;22630795;ASM2263079v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;NMG-F-9;300;3289768;3289768;Microbe sample from Stenotrophomonas maltophilia;dairy cows;NMG-F-9;;2016;China:Inner Mongolia
GCA_022630735.1;12349371;32352628;32350808;GCF_022630735.1;GCF_022630735.1;22630735;ASM2263073v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;NMG-F-4;300;135644;135644;Microbe sample from Stenotrophomonas maltophilia;dairy cows;NMG-F-4;;2016;China:Inner Mongolia
GCA_022630745.1;12349361;32352168;32350828;GCF_022630745.1;GCF_022630745.1;22630745;ASM2263074v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;JL-F-51;300;336927;336927;Microbe sample from Stenotrophomonas maltophilia;dairy cows;JL-F-51;;2016;China:Jilin
GCA_022630715.1;12349351;32352328;32350788;GCF_022630715.1;GCF_022630715.1;22630715;ASM2263071v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;JL-F-29;300;133455;133455;Microbe sample from Stenotrophomonas maltophilia;dairy cows;JL-F-29;;2016;China:Jilin
GCA_022630695.1;12349341;32352448;32350768;GCF_022630695.1;GCF_022630695.1;22630695;ASM2263069v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;JL-F-48-2;300;380123;380123;Microbe sample from Stenotrophomonas maltophilia;dairy cows;JL-F-48-2;;2016;China:Jilin
GCA_022630635.1;12349321;32352208;32350728;GCF_022630635.1;GCF_022630635.1;22630635;ASM2263063v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;JL-F-26-1;300;128352;128352;Microbe sample from Stenotrophomonas maltophilia;dairy cows;JL-F-26-1;;2016;China:Jilin
GCA_022630625.1;12349311;32352528;32350708;GCF_022630625.1;GCF_022630625.1;22630625;ASM2263062v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;JL-F-14;300;166194;166194;Microbe sample from Stenotrophomonas maltophilia;dairy cows;JL-F-14;;2016;China:Jilin
GCA_022630615.1;12349301;32352388;32350688;GCF_022630615.1;GCF_022630615.1;22630615;ASM2263061v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;JL-F-22-1;300;199060;199060;Microbe sample from Stenotrophomonas maltophilia;dairy cows;JL-F-22-1;;2016;China:Jilin
GCA_022630595.1;12349291;32352468;32350668;GCF_022630595.1;GCF_022630595.1;22630595;ASM2263059v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;JL-F-16;300;460437;460437;Microbe sample from Stenotrophomonas maltophilia;dairy cows;JL-F-16;;2016;China:Jilin
GCA_022575555.1;12321751;32319468;32282588;GCF_022575555.1;GCF_022575555.1;22575555;ASM2257555v1;485;Neisseria gonorrhoeae (b-proteobacteria);485;null;haploid;Contig;null;strain;13942;100;40324;40324;Pathogen: clinical or host-associated sample from Neisseria gonorrhoeae;Homo sapiens;13942;Urethral;2015;South Africa: KwaZulu-Natal
GCA_022014735.1;11983131;31737958;31571018;GCF_022014735.1;GCF_022014735.1;22014735;ASM2201473v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Complete Genome;null;strain;PSKL2;76;4574660;4574660;Microbe sample from Stenotrophomonas maltophilia;;PSKL2;Storm drain water;2021-09;Hong Kong: Pokfulam
GCA_021554615.1;11798251;31074468;31065748;GCF_021554615.1;GCF_021554615.1;21554615;ASM2155461v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;SM-32;242;363195;363195;Microbe sample from Stenotrophomonas maltophilia;Homo sapiens;SM-32;;2017-07-28;China:Hefei
GCA_021554595.1;11798241;31074268;31065728;GCF_021554595.1;GCF_021554595.1;21554595;ASM2155459v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;SM-30;233;332778;332778;Microbe sample from Stenotrophomonas maltophilia;Homo sapiens;SM-30;;2017-09-05;China:Hefei
GCA_021554575.1;11798231;31074848;31065708;GCF_021554575.1;GCF_021554575.1;21554575;ASM2155457v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;SM-31;193;363195;363195;Microbe sample from Stenotrophomonas maltophilia;Homo sapiens;SM-31;;2017-07-06;China:Hefei
GCA_021554555.1;11798221;31074748;31065688;GCF_021554555.1;GCF_021554555.1;21554555;ASM2155455v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;SM-29;275;502311;502311;Microbe sample from Stenotrophomonas maltophilia;Homo sapiens;SM-29;;2017-08-05;China:Hefei
GCA_021554535.1;11798211;31074568;31065668;GCF_021554535.1;GCF_021554535.1;21554535;ASM2155453v1;40324;Stenotrophomonas maltophilia (g-proteobacteria);40324;null;haploid;Contig;null;strain;SM-28;288;560444;560444;Microbe sample from Stenotrophomonas maltophilia;Homo sapiens;SM-28;;2017-10-15;China:Hefei
