Genomes	C	S	D	F	M	n
xanthomonadales/GCA_000742995.1_ASM74299v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_000742995.1_ASM74299v1_genomic.fna.txt;99.9	99.7	0.2	0.1	0.0	1152	   
xanthomonadales/GCA_000758465.1_ASM75846v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_000758465.1_ASM75846v1_genomic.fna.txt;99.8	99.5	0.3	0.1	0.1	1152	   
xanthomonadales/GCA_000788095.1_ASM78809v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_000788095.1_ASM78809v1_genomic.fna.txt;99.5	99.4	0.1	0.3	0.2	1152	   
xanthomonadales/GCA_000834105.1_ASM83410v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_000834105.1_ASM83410v1_genomic.fna.txt;98.0	97.9	0.1	0.3	1.7	1152	   
xanthomonadales/GCA_000972335.1_ASM97233v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_000972335.1_ASM97233v1_genomic.fna.txt;97.2	96.9	0.3	1.3	1.5	1152	   
xanthomonadales/GCA_000973145.1_ASM97314v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_000973145.1_ASM97314v1_genomic.fna.txt;27.4	27.3	0.1	22.4	50.2	1152	   
xanthomonadales/GCA_000978875.1_ASM97887v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_000978875.1_ASM97887v1_genomic.fna.txt;99.6	99.3	0.3	0.2	0.2	1152	   
xanthomonadales/GCA_001051925.1_Steno1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001051925.1_Steno1_genomic.fna.txt;90.2	90.0	0.2	0.6	9.2	1152	   
xanthomonadales/GCA_001068535.1_ASM106853v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001068535.1_ASM106853v1_genomic.fna.txt;99.6	99.4	0.2	0.3	0.1	1152	   
xanthomonadales/GCA_001068765.1_ASM106876v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001068765.1_ASM106876v1_genomic.fna.txt;99.7	99.6	0.1	0.2	0.1	1152	   
xanthomonadales/GCA_001068915.1_ASM106891v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001068915.1_ASM106891v1_genomic.fna.txt;99.8	99.6	0.2	0.2	0.0	1152	   
xanthomonadales/GCA_001068965.1_ASM106896v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001068965.1_ASM106896v1_genomic.fna.txt;98.7	98.6	0.1	1.1	0.2	1152	   
xanthomonadales/GCA_001069005.1_ASM106900v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_001069005.1_ASM106900v1_genomic.fna.txt;99.3	99.1	0.2	0.4	0.3	1152	   
